id_palabra,"Palabra","id_cronista","id_texto","cita","pagina","lengua","propuesta","nota","enlace"
30005,"Atabalipa/Atavalipa","30","T30027","y luego los oficiales del rey requirieron al governador, que matase a <b>Atabalipa</b>, porque si el vivía el rey perderia mucha cantidad de moneda, por ser <i>indio</i> tan velicoso; y así mataron a <b>Atabalipa</b>, y después de muerto salimos de <i>Caxamalca</i>, y vinimos a <i>Guamachulo</i> que es doce leguas de alli, y otras tres a <i>Andamarca</i>, adonde mataron a <i>Gualcar Inga</i>","287","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30028","y caminamos hasta <i>Vilcas</i> donde estaban los <i>capitanes</i> de <b>Atabalipa</b> con mucha gente de guerra, y la gente de guerra eran idos a hacer un chaco, y dejaron en <i>Vilcas</i> los toldos, y las <i>mugeres</i>, y algunos <i>indios</i>, y nosotros nos apoderamos, y <i>señoreamos</i> de todo lo que alli avia al quarto del alva que fue quando entramos en <i>Vilcas</i>, entendiendo que no avia mas gente de la que alli avia; y ahora, de visperas como fueron avisados los <i>indios</i>, vinieron por la parte mas aspera, y dieron en nosotros, y nosotros en ellos, y los <i>indios</i> por ser la tierra tan aspera antes ganaron con nosotros que nosotros con ellos","287v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30029","Estava la gente de guerra de los <i>indios</i> en <i>Vilcacanga</i> una legua mas acá de  <i>Limatambo</i>, y aquel dia vinieron dos <i>indios de los de guerra</i>, que eran del esquadron de <i>Tarama</i> de parte de su <i>cacique</i>, que queria su <i>cacique</i> venír a servir a los christianos con trescientos <i>indios de guerra</i> que el tenia en lo alto de la sierra, y dijeron que era por diferencia que tuvo con los <i>capitanes</i> de <b>Atabalipa</b>, y huvo pareceres que venian por espias, y en efecto no lo eran segun despues parescio, y el capitan los mando cortar y los envió ansí.","288v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30030","y luego por la mesma cuesta abaxo <i>Mango Inca</i> con otros dos, o tres <i>orejones</i>, y traia una <i>manta</i>, y camiseta de algodon amarilla, y <i>Chilche</i> dijo al governador, este es hijo de <i>Guaynava</i> que ha andado huyendo de los <i>capitanes</i> de <b>Atabalipa</b>, y así caminamos al <i>Cuzco</i>","289v.","","","","sin datos"
30006,"Avancay","30","T30031","que pues que avíamos gozado de las duras, que gozasemos entrar en el <i>Cuzco</i>, sin el socorro, que atras venía, y ansi caminamos sin tener guerra con los <i>indios</i> que nos dañase, y pasamos los ríos de <i>Vilcas</i>, <b>Avancay</b>, y <i>Apocima</i>, todos a nada encima de los caballos hasta llegar a <i>Lima-tambo</i> siete leguas de esa ciudad del <i>Cuzco</i>, y alli estuvimos dos días.","288 - 288v.","","","","sin datos"
30007,"baños","30","T30032","volvió dentro del termino que dixo, y nos halló ocho leguas de <i>Caxamalca</i>, y traxo un presente al governador que se lo envió <b>Atabalipa</b> que estaba en los <b>baños</b> una legua de <i>Caxamalca</i>","283 - 283v.","","","","sin datos"
30007,"baños","30","T30033","y como el <i>inga</i> nos conocía a todos dijole eso, y así llegamos á <i>Caxamalca</i> un viernes, a mediodía, y <i>Atabalipa</i> estaba en los <b>baños</b> una legua de allí. ","284","","","","sin datos"
30008,"Bombon","30","T30034","y de ahí venimos a <i>Gualycal</i>, y de ahí a <b>Bombon</b>, todo esto sin guerra de <i>indios</i>; y de <b>Bombon</b> vino Diego de Almagro con gente a <i>Xauxa</i>, donde tuvo guerra con los <i>indios</i>","287","","","","sin datos"
30009,"buhio/buhios","30","T30035","En este tiempo puso el governador en su libertad al <i>cacique</i> de <i>Coaque</i>, y luego se alzó con toda su gente, y nos quemó el <i>pueblo</i>, que no quedó mas que un <b>buhio</b> a donde todos nos recogimos y le defendimos que no nos lo quemase; y savido que el <i>cacique</i> se avia ido con su gente a unas montañas, y tomado un <i>indio</i> que savia donde estaban, el gobernador con alguna gente fueron a pie porque no podian ir caballos en su busca, y llevaron el <i>indio</i> que era guia","278","","","","sin datos"
30009,"buhio/buhios","30","T30036","tocaron la trompeta para ir a saltear aquel <i>pueblo</i> de <i>Coaque</i>, y así se hizo, y se tomó el <i>cacique</i> de el, y se tuvo preso mucho tiempo; avia gran cantidad de ropa blanca de algodon; era un <i>pueblo</i> de grandes <i>casas</i>, y tenia muchos <i>idolos</i>, y atambores; avia mucha comida de <i>maiz</i>, y frutas; avia mucha albaca de castilla, y mucho <i>agi</i>; los <i>indios</i> eran fuertes, y guerreros; el <i>pueblo</i> tenia trecientos <b>buhios</b> muy grandes; es tierra lluviosa, de grandes truenos, y grandes culebras; y sapos, y tierra muy humeda (...) En este <i>pueblo</i> se tomaron diez y ocho mil pesos en oro, y alguna plata baxa (...) y quedamos en aquel <i>pueblo</i> mas de ocho meses; en este tiempo murió mucha gente de enfermedades","277 - 277v.","","","","sin datos"
30010,"Cacalame","30","T30037","luego partio de la <i>Puna</i> el gobernador con toda la gente en dos navios, y llegamos a <i>Tumbez</i>, y hallamos los <i>indios</i> alzados, y se asento el real junto a la <i>fortaleza</i> de <i>Tumbez</i>, y a pocos dias embio el governador al capitan Soto a hacer guerra a los <i>indios</i> de <i>Tumbez</i> que estavan en un fuerte rio arriva; yo fui con él, y cercamos los <i>indios</i> como veinte leguas de <i>Tumbez</i>, y estando cercados, <b>Cacalame</b> que hera el <i>señor</i> de todos ellos se vino de paz con la gente, y bolvimos a <i>Tumbez</i>, y el governador en nombre de Su Magestad los perdonó a todos, y estando alli vinieron otros 20 hombres de <i>Nicaragua</i>, y con ellos fray Tedoco frayle Francisco que agora esta en <i>Quito</i>.","281v.","","","","sin datos"
30011,"cacao","30","T30038","Estuvimos en esta tierra de Puerto Viejo mas de dos meses; avia <i>maiz</i>, y pescado, y <i>fruta de la tierra</i>, <i>papayas</i>; avia miel hecha de <i>maiz</i>; es tierra seca, que con el sol se habren unas grietas en la tierra, y por algunas partes es tierra de montaña, y hay <b>cacao</b> de lo de <i>Mexico</i> aunque poco.","278v. - 279","","","","sin datos"
30012,"cacique/caziques","30","T30039","tocaron la trompeta para ir a saltear aquel <i>pueblo</i> de <i>Coaque</i>, y así se hizo, y se tomó el <b>cacique</b> de el, y se tuvo preso mucho tiempo; avia gran cantidad de ropa blanca de algodon; era un <i>pueblo</i> de grandes <i>casas</i>, y tenia muchos <i>idolos</i>, y atambores; avia mucha comida de <i>maiz</i>, y frutas; avia mucha albaca de castilla, y mucho <i>agi</i>; los <i>indios</i> eran fuertes, y guerreros; el <i>pueblo</i> tenia trecientos <i>buhios</i> muy grandes; es tierra lluviosa, de grandes truenos, y grandes culebras; y sapos, y tierra muy humeda (...) En este <i>pueblo</i> se tomaron diez y ocho mil pesos en oro, y alguna plata baxa (...) y quedamos en aquel <i>pueblo</i> mas de ocho meses; en este tiempo murió mucha gente de enfermedades","277 - 277v.","","","","sin datos"
30012,"cacique/caziques","30","T30040","En este tiempo puso el governador en su libertad al <b>cacique</b> de <i>Coaque</i>, y luego se alzó con toda su gente, y nos quemó el <i>pueblo</i>, que no quedó mas que un <i>buhio</i> a donde todos nos recogimos y le defendimos que no nos lo quemase; y savido que el <b>cacique</b> se avia ido con su gente a unas montañas, y tomado un <i>indio</i> que savia donde estaban, el gobernador con alguna gente fueron a pie porque no podian ir caballos en su busca, y llevaron el <i>indio</i> que era guia","278","","","","sin datos"
30012,"cacique/caziques","30","T30041","Desembarcamos en un <i>pueblo</i> que dice el <i>Tucu</i>, y el estrecho tenia legua y media de travesia, y de allí atravesamos la isla, a un <i>pueblo</i> que se dice el Estero, y en aquel <i>pueblo</i> hallamos una cruz alta, y un crucifixo pintado en una puerta, y una campanilla colgada; tuvose por milagro, y luego salieron de la casa mas de treinta muchachos, y muchachas diciendo loado sea Jesuchristo Molina, Molina y esto fue que quando el primer descubrimiento se lo quedaron al governador dos españoles en el puerto de <i>Payta</i>, el uno que se llamava Molina y el otro Gines a quien mataron los <i>indios</i> en un <i>pueblo</i> que se decía <i>Cinto</i>, porque miro a una muger de un <b>cacique</b>","280-280v.","","","","sin datos"
30012,"cacique/caziques","30","T30042","en esta isla avia mucho <i>maiz</i> y venados, y <i>fruta de la tierra</i>; levantaronse los <i>indios de guerra</i>, y los dieron mucha <i>guacavaras</i>, matando algunos españoles, e hirieron a Hernando Pizarro un flechazo en una pierna, e hirieron también a otros españoles, y despues desto embio el gobernador a <i>Tumbez</i> a pedir a los <b>caziques</b> le embiasen valsas para salir de la isla, llevar el hato y pasar a <i>Tumbez</i>","281","","","","sin datos"
30012,"cacique/caziques","30","T30043","De <i>Tumbez</i> fuimos por el <i>camino de la solana</i> a dar a <i>Pohechos</i> a donde estubimos algun tiempo, y alli se reveló el <b>cacique</b> de <i>Pocechos</i>, y el governador embio al <i>capitan</i> Benalcazar. Yo fui con él, aun que fuerte, y le truximos de paz, y ansi quedó en su <i>pueblo</i>","282","","","","sin datos"
30012,"cacique/caziques","30","T30044","en esta entrada mataron los <i>indios</i> a un Juan de Sandoval de Estremadura, mancero, no le mató el <b>cacique</b> de <i>Pohechos</i>, ni su gente, sino otros <i>indios</i> adonde el se desvio a rranchear; de este <i>pueblo</i> de <i>Pohechos</i> venimos a <i>Tangarara</i> adonde el governador poblo un <i>pueblo</i> de españoles, y dejandole poblado embio al capitan Venalcacar a hacer un castigo en aquellos <i>indios</i> que mataron a Sandoval. ","282","","","","sin datos"
30012,"cacique/caziques","30","T30045","Estava la gente de guerra de los <i>indios</i> en <i>Vilcacanga</i> una legua mas acá de  <i>Limatambo</i>, y aquel dia vinieron dos <i>indios de los de guerra</i>, que eran del esquadron de <i>Tarama</i> de parte de su <b>cacique</b>, que queria su <b>cacique</b> venír a servir a los christianos con trescientos <i>indios de guerra</i> que el tenia en lo alto de la sierra, y dijeron que era por diferencia que tuvo con los <i>capitanes</i> de <i>Atabalipa</i>, y huvo pareceres que venian por espias, y en efecto no lo eran segun despues parescio, y el capitan los mando cortar y los envió ansí.","288v.","","","","sin datos"
30012,"cacique/caziques","30","T30046","y al medio de la cuesta salió a nosotros <i>Chilche</i>, el que al presente es <b>cacique</b> de <i>Yula</i>, y con tres <i>indios</i> <i>cañares</i>, y dijo qual es el capitán de los christianos","289v.","","","","sin datos"
30013,"caimitos","30","T30047","Salidos de Puerto Viejo llegamos a <i>Picuaza</i>, y a otro Puerto que se dice Marchan, y de allí se hizo una entrada con el capitan Benalcazar la tierra adentro, yo fui en ella adonde hallamos los primeros <i>lucumas</i> que se avían visto, y muchos <b>caimitos</b>, y <i>patos de la tierra</i>","279","","","","sin datos"
30014,"Cajas","30","T30048","y desde aquel <i>pueblo</i> de <i>Carran</i> vimos un <i>camino</i> que parecia una sierra arriba, y el gobernador embió a Hernando de Soto con quarenta hombres, y yo fui con él, a que siguiese aquel <i>camino</i> hasta ver donde iba a parar, y empezando a hallar tierra poblada, y al cabo de 20 leguas dimos en un <i>pueblo</i> que se dice <b>Cajas</b>, de grandes edificios, y en el estava un <i>capitan</i> de <i>Atavalipa</i> con mas de 2000 <i>indios de guerra</i>, y avia en aquel <i>pueblo</i> tres <i>casas de mujeres</i>  recojidas que llamavan <i>mamacomas</i>, y como entramos, se sacaron las <i>mujeres</i> a la plaza, que heran mas de quinientas, y el <i>capitan</i> dio muchas de ellas a los españoles","282 - 282v.","","","","sin datos"
30015,"Cala","30","T30049","y de alli venimos por un <i>pueblo</i> que se dice <b>Cala</b>, y por <i>Cinto</i>, y por <i>Motupe</i> una tierra seca y sin agua, donde se padeció gran trabajo de sed, y caminos.","283","","","","sin datos"
30016,"camino","30","T30050","y desde aquel <i>pueblo</i> de <i>Carran</i> vimos un <b>camino</b> que parecia una sierra arriba, y el gobernador embió a Hernando de Soto con quarenta hombres, y yo fui con él, a que siguiese aquel <b>camino</b> hasta ver donde iba a parar, y empezando a hallar tierra poblada, y al cabo de 20 leguas dimos en un <i>pueblo</i> que se dice <i>Cajas</i>, de grandes edificios, y en el estava un <i>capitan</i> de <i>Atavalipa</i> con mas de 2000 <i>indios de guerra</i>, y avia en aquel <i>pueblo</i> tres <i>casas de mujeres</i>  recojidas que llamavan <i>mamacomas</i>, y como entramos, se sacaron las <i>mujeres</i> a la plaza, que heran mas de quinientas, y el <i>capitan</i> dio muchas de ellas a los españoles","282 - 282v.","","","","sin datos"
30016,"camino","30","T30051","y luego llegamos a <i>Xauxa</i> toda la demas gente con el governador, adonde estuvimos cierto tiempo hasta que el governador envió a Hernando de Soto con quarenta de a caballo para descubrir el <b>camino</b> para venir al <i>Cuzco</i>, yo fui con el","287 - 287v.","","","","sin datos"
30017,"camino de la sierra","30","T30052","de alli tomamos el <b>camino de la sierra</b>, y llegamos a una <i>fortaleza</i> sin contraste de nadie","283","","","","sin datos"
30018,"camino de la solana","30","T30053","De <i>Tumbez</i> fuimos por el <b>camino de la solana</b> a dar a <i>Pohechos</i> a donde estubimos algun tiempo, y alli se reveló el <i>cacique</i> de <i>Pocechos</i>, y el governador embio al <i>capitan</i> Benalcazar. Yo fui con él, aun que fuerte, y le truximos de paz, y ansi quedó en su <i>pueblo</i>","282","","","","sin datos"
30019,"camotes","30","T30054","pasados los dos rios, que tenian un quarto de legua de ancho cada uno, hallamos muchos <b>camotes</b>, y mucha <i>yuca</i> de que hizimos mucho <i>cazabe</i>, y avia mucha fruta de <i>guayabas</i> e otras, y así se reformo mucho la gente","276v.","","","","sin datos"
30020,"CanceVi [sic: Cancebi]","30","T30055","de allí llegamos a un <i>pueblo</i> grande en la costa, despoblado que se decía <b>Cance,Vi</b> tenia mucha losa de barro, y muchas redes de pescar, avia <i>maizales</i>, que aun no estava formado el <i>maiz</i>, mas así lo comimos por la falta que avia de comida; esta tierra era falta de agua dulce de que se padecia trabajo","275v.","","","","sin datos"
30021,"Caña","30","T30056","Llegamos a <b>Caña</b>, que es una población grande, y de mucha comida, y <i>ropa de la tierra</i>, que avia silos llenos della; topamos un rio grande, y era grande porque los <i>indios</i> hecharon todas las acequias por el","283","","","","sin datos"
30022,"cañares","30","T30057","y al medio de la cuesta salió a nosotros <i>Chilche</i>, el que al presente es <i>cacique</i> de <i>Yula</i>, y con tres <i>indios</i> <b>cañares</b>, y dijo qual es el capitán de los christianos","289v.","","","","sin datos"
30022,"cañares","30","T30058","y al fin entramos en el <i>Cuzco</i> a donde luego se pusieron en favor de los christianos los <i>indios</i> <b>cañares</b>, y <i>chachapoyas</i>, que serian hasta cincuenta <i>indios</i> los unos y los otros, con <i>Chilche</i>.","289v.","","","","sin datos"
30023,"capitan/capitanes","30","T30059","y el Molina se vino a la isla de la <i>Puna</i> al qual tenian los <i>indios</i> por su <b>capitan</b> contra los <i>chonos</i>, y los de <i>Tumbez</i>, y un mes antes que nosotros llegasemos le avian muerto los <i>chonos</i> en la mar pescando. Sintieronlo mucho los de la <i>Puna</i> su muerte, y estos <i>indios</i> de la <i>Puna</i> tenían tomados a los <i>indios</i> de <i>Tumbez</i> tres <i>idolos</i> de oro del tamaño cada uno como un muchacho de tres años, y tenia mas de 600 <i>esclavos</i> de los <i>indios</i> de <i>Tumbez</i> entre hombres y <i>mugeres</i>, y el governador embio a llamar a los <i>señores</i> de <i>Tumbez</i>, y venidos los hizo amigos con los de la isla, e hiçoles restituir los <i>idolos</i> de oro, y los <i>esclavos</i> que les avian tomado, y los llevaron a su tierra","280v.-281","","","","sin datos"
30023,"capitan/capitanes","30","T30060","y desde aquel <i>pueblo</i> de <i>Carran</i> vimos un <i>camino</i> que parecia una sierra arriba, y el gobernador embió a Hernando de Soto con quarenta hombres, y yo fui con él, a que siguiese aquel <i>camino</i> hasta ver donde iba a parar, y empezando a hallar tierra poblada, y al cabo de 20 leguas dimos en un <i>pueblo</i> que se dice <i>Cajas</i>, de grandes edificios, y en el estava un <b>capitan</b> de <i>Atavalipa</i> con mas de 2000 <i>indios de guerra</i>, y avia en aquel <i>pueblo</i> tres <i>casas de mujeres</i>  recojidas que llamavan <i>mamacomas</i>, y como entramos, se sacaron las <i>mujeres</i> a la plaza, que heran mas de quinientas, y el <b>capitan</b> dio muchas de ellas a los españoles","282 - 282v.","","","","sin datos"
30023,"capitan/capitanes","30","T30061","el <b>capitan</b> del <i>inga</i> se ensobervecio mucho, y dijo, como osais vosotros a hacer esto estando <i>Atabalipa</i> veinte leguas de aqui, porque no ha de quedar hombre vivo de vosotros.","282v.","","","","sin datos"
